Id_Dep,Id_Mun,Departamento,Municipio,Pobl. Pueblo Orig,Pobl. Pueblo Maya
9,903,Quetzaltenango,Olintepeque,26302,26177
9,904,Quetzaltenango,San Carlos Sija,12745,12669
9,905,Quetzaltenango,Sibilia,654,640
9,906,Quetzaltenango,Cabricán,18887,18864
9,907,Quetzaltenango,Cajolá,14344,14330
9,908,Quetzaltenango,San Miguel Sigüila,7551,7544
9,909,Quetzaltenango,San Juan Ostuncalco,44441,44236
9,910,Quetzaltenango,San Mateo,2479,2468
9,911,Quetzaltenango,Concepción Chiquirichapa,17186,17170
9,912,Quetzaltenango,San Martín Sacatepéquez,26552,26527
9,913,Quetzaltenango,Almolonga,15527,15513
9,914,Quetzaltenango,Cantel,38619,38491
9,915,Quetzaltenango,Huitán,12652,12641
9,916,Quetzaltenango,Zunil,11755,11729
9,917,Quetzaltenango,Colomba,1333,1266
9,918,Quetzaltenango,San Francisco La Unión,7870,7860
9,919,Quetzaltenango,El Palmar,19576,19137
9,920,Quetzaltenango,Coatepeque,2599,2380
9,921,Quetzaltenango,Génova,10379,10350
9,922,Quetzaltenango,Flores Costa Cuca,873,860
9,923,Quetzaltenango,La Esperanza,12227,12202
9,924,Quetzaltenango,Palestina de Los Altos,11965,11955
10,1001,Suchitepéquez,Mazatenango,11161,10444
10,1002,Suchitepéquez,Cuyotenango,7653,7470
10,1003,Suchitepéquez,San Francisco Zapotitlán,1343,1297
10,1004,Suchitepéquez,San Bernardino,10519,10478
10,1005,Suchitepéquez,San José El Ídolo,1954,1864
10,1006,Suchitepéquez,Santo Domingo Suchitepéquez,11458,11111
10,1007,Suchitepéquez,San Lorenzo,8516,8506
10,1008,Suchitepéquez,Samayac,20727,20293
10,1009,Suchitepéquez,San Pablo Jocopilas,16033,15983
10,1010,Suchitepéquez,San Antonio Suchitepéquez,34532,33487
10,1011,Suchitepéquez,San Miguel Panán,8436,7859
10,1012,Suchitepéquez,San Gabriel,3439,3383
10,1013,Suchitepéquez,Chicacao,42716,42454
10,1014,Suchitepéquez,Patulul,7203,7102
10,1015,Suchitepéquez,Santa Bárbara,3553,3498
10,1016,Suchitepéquez,San Juan Bautista,652,640
10,1017,Suchitepéquez,Santo Tomás La Unión,9357,9336
10,1018,Suchitepéquez,Zunilito,940,936
10,1019,Suchitepéquez,Pueblo Nuevo,6551,6507
10,1020,Suchitepéquez,Río Bravo,3113,2916
10,1021,Suchitepéquez,San José La Máquina,5627,5539
11,1101,Retalhuleu,Retalhuleu,2645,2435
11,1102,Retalhuleu,San Sebastián,12086,11984
11,1103,Retalhuleu,Santa Cruz Muluá,477,448
11,1104,Retalhuleu,San Martín Zapotitlán,655,587
11,1105,Retalhuleu,San Felipe,2358,2229
11,1106,Retalhuleu,San Andrés Villa Seca,12505,12189
11,1107,Retalhuleu,Champerico,4428,4390
11,1108,Retalhuleu,Nuevo San Carlos,832,774
11,1109,Retalhuleu,El Asintal,13885,13835
12,1201,San Marcos,San Marcos,1776,1671
12,1202,San Marcos,San Pedro Sacatepéquez,11478,11387
12,1203,San Marcos,San Antonio Sacatepéquez,7900,7866
