Id_Dep,Id_Mun,Departamento,Municipio,Grupo Edad,Pobl. Grupo Edad
1,114,Guatemala,Amatitlán,35 - 39,8294
1,114,Guatemala,Amatitlán,40 - 44,7033
1,114,Guatemala,Amatitlán,45 - 49,5534
1,114,Guatemala,Amatitlán,5 - 9,11088
1,114,Guatemala,Amatitlán,50 - 54,4850
1,114,Guatemala,Amatitlán,55 - 59,3883
1,114,Guatemala,Amatitlán,60 - 64,3022
1,114,Guatemala,Amatitlán,65 - 69,2275
1,114,Guatemala,Amatitlán,70  - 74,1499
1,114,Guatemala,Amatitlán,75 - 79,1026
1,114,Guatemala,Amatitlán,80 - 84,646
1,114,Guatemala,Amatitlán,85 - 89,391
1,114,Guatemala,Amatitlán,90  - 94,146
1,114,Guatemala,Amatitlán,95 - 99,63
1,115,Guatemala,Villa Nueva,0 - 4,38625
1,115,Guatemala,Villa Nueva,10 - 14,40614
1,115,Guatemala,Villa Nueva,100 o más,28
1,115,Guatemala,Villa Nueva,15 - 19,43586
1,115,Guatemala,Villa Nueva,20 - 24,43936
1,115,Guatemala,Villa Nueva,25 - 29,39895
1,115,Guatemala,Villa Nueva,30 - 34,34748
1,115,Guatemala,Villa Nueva,35 - 39,33955
1,115,Guatemala,Villa Nueva,40 - 44,27559
1,115,Guatemala,Villa Nueva,45 - 49,22032
1,115,Guatemala,Villa Nueva,5 - 9,40356
1,115,Guatemala,Villa Nueva,50 - 54,18279
1,115,Guatemala,Villa Nueva,55 - 59,15139
1,115,Guatemala,Villa Nueva,60 - 64,12057
1,115,Guatemala,Villa Nueva,65 - 69,9280
1,115,Guatemala,Villa Nueva,70  - 74,5884
1,115,Guatemala,Villa Nueva,75 - 79,3652
1,115,Guatemala,Villa Nueva,80 - 84,2157
1,115,Guatemala,Villa Nueva,85 - 89,1308
1,115,Guatemala,Villa Nueva,90  - 94,499
1,115,Guatemala,Villa Nueva,95 - 99,145
1,116,Guatemala,Villa Canales,0 - 4,15479
1,116,Guatemala,Villa Canales,10 - 14,15601
1,116,Guatemala,Villa Canales,100 o más,8
1,116,Guatemala,Villa Canales,15 - 19,17041
