MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
922,2,1,Hombre,Xinka
922,2,1,Mujer,Extranjera (o)
922,2,234,Mujer,Ladina (o)
922,2,4,Mujer,Maya
923,2,90,Hombre,Ladina (o)
923,2,118,Hombre,Maya
923,2,1,Mujer,Extranjera (o)
923,2,106,Mujer,Ladina (o)
923,2,127,Mujer,Maya
924,2,47,Hombre,Ladina (o)
924,2,175,Hombre,Maya
924,2,26,Mujer,Ladina (o)
924,2,165,Mujer,Maya
901,3,1,Hombre,Afrodescendiente/Creole/Afromestizo
901,3,5,Hombre,Extranjera (o)
901,3,1,Hombre,Garífuna
901,3,862,Hombre,Ladina (o)
901,3,786,Hombre,Maya
901,3,6,Mujer,Extranjera (o)
901,3,1,Mujer,Garífuna
901,3,839,Mujer,Ladina (o)
901,3,763,Mujer,Maya
902,3,1,Hombre,Afrodescendiente/Creole/Afromestizo
902,3,106,Hombre,Ladina (o)
902,3,77,Hombre,Maya
902,3,100,Mujer,Ladina (o)
902,3,73,Mujer,Maya
903,3,4,Hombre,Afrodescendiente/Creole/Afromestizo
903,3,89,Hombre,Ladina (o)
903,3,298,Hombre,Maya
903,3,1,Mujer,Extranjera (o)
903,3,93,Mujer,Ladina (o)
903,3,311,Mujer,Maya
904,3,1,Hombre,Afrodescendiente/Creole/Afromestizo
904,3,174,Hombre,Ladina (o)
904,3,135,Hombre,Maya
904,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
904,3,1,Mujer,Extranjera (o)
904,3,187,Mujer,Ladina (o)
904,3,118,Mujer,Maya
905,3,96,Hombre,Ladina (o)
905,3,9,Hombre,Maya
905,3,92,Mujer,Ladina (o)
905,3,4,Mujer,Maya
906,3,44,Hombre,Ladina (o)
906,3,216,Hombre,Maya
906,3,55,Mujer,Ladina (o)
906,3,198,Mujer,Maya
907,3,6,Hombre,Ladina (o)
907,3,204,Hombre,Maya
907,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
907,3,7,Mujer,Ladina (o)
907,3,216,Mujer,Maya
908,3,3,Hombre,Ladina (o)
908,3,98,Hombre,Maya
908,3,7,Mujer,Ladina (o)
908,3,111,Mujer,Maya
909,3,3,Hombre,Afrodescendiente/Creole/Afromestizo
909,3,76,Hombre,Ladina (o)
909,3,582,Hombre,Maya
909,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
909,3,3,Mujer,Extranjera (o)
909,3,88,Mujer,Ladina (o)
909,3,571,Mujer,Maya
910,3,1,Hombre,Extranjera (o)
910,3,57,Hombre,Ladina (o)
910,3,15,Hombre,Maya
910,3,65,Mujer,Ladina (o)
910,3,14,Mujer,Maya
911,3,1,Hombre,Garífuna
911,3,1,Hombre,Ladina (o)
911,3,192,Hombre,Maya
911,3,3,Mujer,Ladina (o)
911,3,198,Mujer,Maya
911,3,1,Mujer,Xinka
912,3,33,Hombre,Ladina (o)
912,3,381,Hombre,Maya
912,3,38,Mujer,Ladina (o)
912,3,337,Mujer,Maya
913,3,2,Hombre,Ladina (o)
913,3,137,Hombre,Maya
913,3,3,Mujer,Ladina (o)
913,3,123,Mujer,Maya
914,3,31,Hombre,Ladina (o)
914,3,384,Hombre,Maya
914,3,25,Mujer,Ladina (o)
914,3,379,Mujer,Maya
915,3,11,Hombre,Ladina (o)
915,3,178,Hombre,Maya
915,3,15,Mujer,Ladina (o)
915,3,171,Mujer,Maya
916,3,37,Hombre,Ladina (o)
916,3,96,Hombre,Maya
916,3,28,Mujer,Ladina (o)
916,3,106,Mujer,Maya
916,3,1,Mujer,Xinka
917,3,2,Hombre,Garífuna
917,3,602,Hombre,Ladina (o)
917,3,5,Hombre,Maya
917,3,1,Mujer,Extranjera (o)
917,3,549,Mujer,Ladina (o)
917,3,7,Mujer,Maya
918,3,82,Hombre,Maya
918,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
918,3,1,Mujer,Garífuna
918,3,1,Mujer,Ladina (o)
918,3,84,Mujer,Maya
919,3,8,Hombre,Afrodescendiente/Creole/Afromestizo
919,3,121,Hombre,Ladina (o)
919,3,242,Hombre,Maya
919,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
919,3,1,Mujer,Garífuna
919,3,126,Mujer,Ladina (o)
919,3,241,Mujer,Maya
920,3,2,Hombre,Afrodescendiente/Creole/Afromestizo
920,3,1,Hombre,Extranjera (o)
920,3,1,Hombre,Garífuna
920,3,1089,Hombre,Ladina (o)
920,3,16,Hombre,Maya
920,3,1,Mujer,Afrodescendiente/Creole/Afromestizo
920,3,1,Mujer,Extranjera (o)
920,3,1133,Mujer,Ladina (o)
920,3,10,Mujer,Maya
920,3,2,Mujer,Xinka
921,3,1,Hombre,Afrodescendiente/Creole/Afromestizo
921,3,368,Hombre,Ladina (o)
921,3,109,Hombre,Maya
921,3,379,Mujer,Ladina (o)
921,3,117,Mujer,Maya
922,3,236,Hombre,Ladina (o)
922,3,8,Hombre,Maya
922,3,229,Mujer,Ladina (o)
922,3,4,Mujer,Maya
923,3,109,Hombre,Ladina (o)
923,3,139,Hombre,Maya
923,3,1,Mujer,Extranjera (o)
923,3,116,Mujer,Ladina (o)
923,3,127,Mujer,Maya
924,3,54,Hombre,Ladina (o)
924,3,184,Hombre,Maya
924,3,47,Mujer,Ladina (o)
924,3,189,Mujer,Maya
901,4,2,Hombre,Afrodescendiente/Creole/Afromestizo
901,4,9,Hombre,Extranjera (o)
901,4,852,Hombre,Ladina (o)
901,4,751,Hombre,Maya
901,4,1,Mujer,Afrodescendiente/Creole/Afromestizo
901,4,5,Mujer,Extranjera (o)
901,4,1,Mujer,Garífuna
901,4,835,Mujer,Ladina (o)
901,4,763,Mujer,Maya
901,4,1,Mujer,Xinka
902,4,113,Hombre,Ladina (o)
902,4,69,Hombre,Maya
902,4,97,Mujer,Ladina (o)
902,4,64,Mujer,Maya
902,4,1,Mujer,Xinka
903,4,92,Hombre,Ladina (o)
903,4,275,Hombre,Maya
903,4,1,Mujer,Afrodescendiente/Creole/Afromestizo
903,4,1,Mujer,Extranjera (o)
903,4,1,Mujer,Garífuna
903,4,78,Mujer,Ladina (o)
903,4,284,Mujer,Maya
904,4,2,Hombre,Afrodescendiente/Creole/Afromestizo
904,4,189,Hombre,Ladina (o)
904,4,136,Hombre,Maya
904,4,198,Mujer,Ladina (o)
904,4,111,Mujer,Maya
905,4,106,Hombre,Ladina (o)
905,4,4,Hombre,Maya
905,4,84,Mujer,Ladina (o)
905,4,4,Mujer,Maya
906,4,56,Hombre,Ladina (o)
906,4,203,Hombre,Maya
906,4,60,Mujer,Ladina (o)
906,4,206,Mujer,Maya
907,4,8,Hombre,Ladina (o)
907,4,239,Hombre,Maya
907,4,3,Mujer,Ladina (o)
907,4,238,Mujer,Maya
908,4,2,Hombre,Ladina (o)
908,4,113,Hombre,Maya
908,4,3,Mujer,Ladina (o)
908,4,105,Mujer,Maya
909,4,1,Hombre,Afrodescendiente/Creole/Afromestizo
909,4,67,Hombre,Ladina (o)
909,4,563,Hombre,Maya
909,4,3,Mujer,Afrodescendiente/Creole/Afromestizo
909,4,2,Mujer,Extranjera (o)
909,4,1,Mujer,Garífuna
909,4,70,Mujer,Ladina (o)
909,4,565,Mujer,Maya
910,4,60,Hombre,Ladina (o)
910,4,32,Hombre,Maya
910,4,1,Mujer,Afrodescendiente/Creole/Afromestizo
910,4,65,Mujer,Ladina (o)
910,4,24,Mujer,Maya
911,4,1,Hombre,Extranjera (o)
911,4,1,Hombre,Ladina (o)
911,4,187,Hombre,Maya
911,4,2,Mujer,Ladina (o)
911,4,220,Mujer,Maya
912,4,1,Hombre,Extranjera (o)
912,4,31,Hombre,Ladina (o)
912,4,314,Hombre,Maya
912,4,31,Mujer,Ladina (o)
912,4,356,Mujer,Maya
913,4,2,Hombre,Ladina (o)
913,4,123,Hombre,Maya
913,4,2,Mujer,Ladina (o)
913,4,119,Mujer,Maya
914,4,2,Hombre,Afrodescendiente/Creole/Afromestizo
914,4,1,Hombre,Garífuna
914,4,24,Hombre,Ladina (o)
914,4,356,Hombre,Maya
914,4,1,Mujer,Garífuna
914,4,18,Mujer,Ladina (o)
914,4,356,Mujer,Maya
915,4,8,Hombre,Ladina (o)
915,4,171,Hombre,Maya
915,4,14,Mujer,Ladina (o)
915,4,208,Mujer,Maya
916,4,1,Hombre,Garífuna
916,4,19,Hombre,Ladina (o)
916,4,93,Hombre,Maya
916,4,24,Mujer,Ladina (o)
916,4,86,Mujer,Maya
917,4,524,Hombre,Ladina (o)
917,4,7,Hombre,Maya
917,4,1,Mujer,Extranjera (o)
917,4,485,Mujer,Ladina (o)
917,4,15,Mujer,Maya
918,4,92,Hombre,Maya
918,4,1,Mujer,Ladina (o)
918,4,80,Mujer,Maya
919,4,5,Hombre,Afrodescendiente/Creole/Afromestizo
919,4,1,Hombre,Garífuna
919,4,119,Hombre,Ladina (o)
919,4,215,Hombre,Maya
919,4,4,Mujer,Afrodescendiente/Creole/Afromestizo
919,4,114,Mujer,Ladina (o)
919,4,195,Mujer,Maya
920,4,1,Hombre,Extranjera (o)
920,4,2,Hombre,Garífuna
