Id_Dep,Id_Mun,Departamento,Municipio,Comunidad Linguística,Pobl. ComLinguistica
1,117,Guatemala,Petapa,Q'eqchi',442
1,117,Guatemala,Petapa,Sakapulteka,17
1,117,Guatemala,Petapa,Sipakapense,15
1,117,Guatemala,Petapa,Tektiteka,6
1,117,Guatemala,Petapa,Tz'utujil,66
1,117,Guatemala,Petapa,Uspanteka,12
2,201,El Progreso,Guastatoya,Achi,38
2,201,El Progreso,Guastatoya,Akateka,0
2,201,El Progreso,Guastatoya,Awakateka,2
2,201,El Progreso,Guastatoya,Chalchiteka,100
2,201,El Progreso,Guastatoya,Ch'orti',1
2,201,El Progreso,Guastatoya,Chuj,0
2,201,El Progreso,Guastatoya,Itza',0
2,201,El Progreso,Guastatoya,Ixil,7
2,201,El Progreso,Guastatoya,Jakalteko /Popti',1
2,201,El Progreso,Guastatoya,Kaqchikel,79
2,201,El Progreso,Guastatoya,K'iche',273
2,201,El Progreso,Guastatoya,Mam,41
2,201,El Progreso,Guastatoya,Mopan,0
2,201,El Progreso,Guastatoya,Poqomam,9
2,201,El Progreso,Guastatoya,Poqomchi',10
2,201,El Progreso,Guastatoya,Q'anjob'al,5
2,201,El Progreso,Guastatoya,Q'eqchi',54
2,201,El Progreso,Guastatoya,Sakapulteka,1
2,201,El Progreso,Guastatoya,Sipakapense,0
2,201,El Progreso,Guastatoya,Tektiteka,0
2,201,El Progreso,Guastatoya,Tz'utujil,2
2,201,El Progreso,Guastatoya,Uspanteka,0
2,202,El Progreso,Morazán,Achi,15
2,202,El Progreso,Morazán,Akateka,1
2,202,El Progreso,Morazán,Awakateka,0
2,202,El Progreso,Morazán,Chalchiteka,47
2,202,El Progreso,Morazán,Ch'orti',0
2,202,El Progreso,Morazán,Chuj,0
2,202,El Progreso,Morazán,Itza',0
2,202,El Progreso,Morazán,Ixil,0
2,202,El Progreso,Morazán,Jakalteko /Popti',0
2,202,El Progreso,Morazán,Kaqchikel,6
2,202,El Progreso,Morazán,K'iche',13
2,202,El Progreso,Morazán,Mam,7
2,202,El Progreso,Morazán,Mopan,0
2,202,El Progreso,Morazán,Poqomam,0
2,202,El Progreso,Morazán,Poqomchi',21
2,202,El Progreso,Morazán,Q'anjob'al,0
2,202,El Progreso,Morazán,Q'eqchi',37
2,202,El Progreso,Morazán,Sakapulteka,0
2,202,El Progreso,Morazán,Sipakapense,0
2,202,El Progreso,Morazán,Tektiteka,0
2,202,El Progreso,Morazán,Tz'utujil,0
2,202,El Progreso,Morazán,Uspanteka,0
2,203,El Progreso,San Agustín Acasaguastlán,Achi,36
2,203,El Progreso,San Agustín Acasaguastlán,Akateka,0
2,203,El Progreso,San Agustín Acasaguastlán,Awakateka,0
2,203,El Progreso,San Agustín Acasaguastlán,Chalchiteka,197
2,203,El Progreso,San Agustín Acasaguastlán,Ch'orti',9
2,203,El Progreso,San Agustín Acasaguastlán,Chuj,0
2,203,El Progreso,San Agustín Acasaguastlán,Itza',0
2,203,El Progreso,San Agustín Acasaguastlán,Ixil,1
2,203,El Progreso,San Agustín Acasaguastlán,Jakalteko /Popti',0
2,203,El Progreso,San Agustín Acasaguastlán,Kaqchikel,124
2,203,El Progreso,San Agustín Acasaguastlán,K'iche',114
2,203,El Progreso,San Agustín Acasaguastlán,Mam,1
2,203,El Progreso,San Agustín Acasaguastlán,Mopan,0
2,203,El Progreso,San Agustín Acasaguastlán,Poqomam,0
2,203,El Progreso,San Agustín Acasaguastlán,Poqomchi',6
2,203,El Progreso,San Agustín Acasaguastlán,Q'anjob'al,1
2,203,El Progreso,San Agustín Acasaguastlán,Q'eqchi',73
2,203,El Progreso,San Agustín Acasaguastlán,Sakapulteka,0
2,203,El Progreso,San Agustín Acasaguastlán,Sipakapense,0
2,203,El Progreso,San Agustín Acasaguastlán,Tektiteka,0
2,203,El Progreso,San Agustín Acasaguastlán,Tz'utujil,0
2,203,El Progreso,San Agustín Acasaguastlán,Uspanteka,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Achi,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Akateka,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Awakateka,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Chalchiteka,15
2,204,El Progreso,San Cristóbal Acasaguastlán,Ch'orti',0
2,204,El Progreso,San Cristóbal Acasaguastlán,Chuj,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Itza',0
2,204,El Progreso,San Cristóbal Acasaguastlán,Ixil,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Jakalteko /Popti',0
2,204,El Progreso,San Cristóbal Acasaguastlán,Kaqchikel,4
2,204,El Progreso,San Cristóbal Acasaguastlán,K'iche',21
2,204,El Progreso,San Cristóbal Acasaguastlán,Mam,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Mopan,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Poqomam,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Poqomchi',0
2,204,El Progreso,San Cristóbal Acasaguastlán,Q'anjob'al,8
2,204,El Progreso,San Cristóbal Acasaguastlán,Q'eqchi',28
2,204,El Progreso,San Cristóbal Acasaguastlán,Sakapulteka,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Sipakapense,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Tektiteka,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Tz'utujil,0
2,204,El Progreso,San Cristóbal Acasaguastlán,Uspanteka,0
2,205,El Progreso,El Jícaro,Achi,5
2,205,El Progreso,El Jícaro,Akateka,0
2,205,El Progreso,El Jícaro,Awakateka,0
2,205,El Progreso,El Jícaro,Chalchiteka,16
2,205,El Progreso,El Jícaro,Ch'orti',0
2,205,El Progreso,El Jícaro,Chuj,0
2,205,El Progreso,El Jícaro,Itza',0
2,205,El Progreso,El Jícaro,Ixil,0
2,205,El Progreso,El Jícaro,Jakalteko /Popti',0
2,205,El Progreso,El Jícaro,Kaqchikel,22
2,205,El Progreso,El Jícaro,K'iche',21
2,205,El Progreso,El Jícaro,Mam,0
2,205,El Progreso,El Jícaro,Mopan,0
2,205,El Progreso,El Jícaro,Poqomam,0
2,205,El Progreso,El Jícaro,Poqomchi',0
2,205,El Progreso,El Jícaro,Q'anjob'al,0
2,205,El Progreso,El Jícaro,Q'eqchi',5
2,205,El Progreso,El Jícaro,Sakapulteka,0
2,205,El Progreso,El Jícaro,Sipakapense,0
2,205,El Progreso,El Jícaro,Tektiteka,0
2,205,El Progreso,El Jícaro,Tz'utujil,0
2,205,El Progreso,El Jícaro,Uspanteka,0
2,206,El Progreso,Sanarate,Achi,0
2,206,El Progreso,Sanarate,Akateka,1
2,206,El Progreso,Sanarate,Awakateka,0
2,206,El Progreso,Sanarate,Chalchiteka,30
2,206,El Progreso,Sanarate,Ch'orti',0
2,206,El Progreso,Sanarate,Chuj,0
2,206,El Progreso,Sanarate,Itza',0
2,206,El Progreso,Sanarate,Ixil,0
2,206,El Progreso,Sanarate,Jakalteko /Popti',0
2,206,El Progreso,Sanarate,Kaqchikel,16
2,206,El Progreso,Sanarate,K'iche',80
2,206,El Progreso,Sanarate,Mam,1
2,206,El Progreso,Sanarate,Mopan,0
2,206,El Progreso,Sanarate,Poqomam,0
2,206,El Progreso,Sanarate,Poqomchi',9
2,206,El Progreso,Sanarate,Q'anjob'al,0
2,206,El Progreso,Sanarate,Q'eqchi',20
2,206,El Progreso,Sanarate,Sakapulteka,0
2,206,El Progreso,Sanarate,Sipakapense,0
2,206,El Progreso,Sanarate,Tektiteka,0
2,206,El Progreso,Sanarate,Tz'utujil,1
2,206,El Progreso,Sanarate,Uspanteka,0
2,207,El Progreso,Sansare,Achi,13
2,207,El Progreso,Sansare,Akateka,0
2,207,El Progreso,Sansare,Awakateka,0
2,207,El Progreso,Sansare,Chalchiteka,99
2,207,El Progreso,Sansare,Ch'orti',0
2,207,El Progreso,Sansare,Chuj,1
2,207,El Progreso,Sansare,Itza',0
2,207,El Progreso,Sansare,Ixil,0
2,207,El Progreso,Sansare,Jakalteko /Popti',0
